UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
203164,2010,A,,A,,A,,R,44.0,R,0.0,R,44.0,R,38.0,R,86.0,R,110.0,R,0.0,R,110.0,R,84.0,R,76.0,R,6
203225,2010,A,,A,,A,,R,304.0,R,0.0,R,304.0,R,236.0,R,78.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,36
203234,2010,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12
203289,2010,R,25.0,R,28.0,R,89.0,R,23.0,R,0.0,R,23.0,R,16.0,R,70.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11
203313,2010,R,71.0,R,98.0,R,72.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20
203331,2010,R,281.0,R,860.0,R,33.0,R,338.0,R,0.0,R,338.0,R,188.0,R,56.0,R,264.0,R,0.0,R,264.0,R,81.0,R,31.0,R,17
203368,2010,R,703.0,R,841.0,R,84.0,R,661.0,R,0.0,R,661.0,R,566.0,R,86.0,R,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13
203386,2010,R,38.0,R,184.0,R,21.0,R,46.0,R,0.0,R,46.0,R,29.0,R,63.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11
203438,2010,A,,A,,A,,R,42.0,R,0.0,R,42.0,R,39.0,R,93.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,6
203447,2010,R,321.0,R,634.0,R,51.0,R,289.0,R,0.0,R,289.0,R,170.0,R,59.0,R,147.0,R,0.0,R,147.0,R,62.0,R,42.0,R,20
203456,2010,R,139.0,R,223.0,R,62.0,R,134.0,R,0.0,R,134.0,R,84.0,R,63.0,R,10.0,R,0.0,R,10.0,R,3.0,R,30.0,R,17
203465,2010,R,615.0,R,1122.0,R,55.0,R,663.0,R,0.0,R,663.0,R,432.0,R,65.0,R,68.0,R,0.0,R,68.0,R,33.0,R,49.0,R,22
203474,2010,R,361.0,R,675.0,R,53.0,R,352.0,R,0.0,R,352.0,R,225.0,R,64.0,R,63.0,R,0.0,R,63.0,R,32.0,R,51.0,R,24
203483,2010,R,408.0,R,670.0,R,61.0,R,384.0,R,0.0,R,384.0,R,255.0,R,66.0,R,77.0,R,0.0,R,77.0,R,48.0,R,62.0,R,23
203492,2010,R,230.0,R,370.0,R,62.0,R,265.0,R,0.0,R,265.0,R,152.0,R,57.0,R,30.0,R,0.0,R,30.0,R,15.0,R,50.0,R,18
203517,2010,R,3927.0,R,5074.0,R,77.0,R,4030.0,R,0.0,R,4030.0,R,3168.0,R,79.0,R,73.0,R,0.0,R,73.0,R,38.0,R,52.0,R,20
203526,2010,R,185.0,R,343.0,R,54.0,R,170.0,R,0.0,R,170.0,R,115.0,R,68.0,R,52.0,R,0.0,R,52.0,R,26.0,R,50.0,R,18
203535,2010,R,483.0,R,494.0,R,98.0,R,469.0,R,1.0,R,468.0,R,432.0,R,92.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,10
203544,2010,R,85.0,R,256.0,R,33.0,R,16.0,R,0.0,R,16.0,R,14.0,R,88.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12
203580,2010,R,258.0,R,386.0,R,67.0,R,264.0,R,0.0,R,264.0,R,189.0,R,72.0,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,R,14
203599,2010,R,955.0,R,2792.0,R,34.0,R,1029.0,R,0.0,R,1029.0,R,500.0,R,49.0,R,540.0,R,0.0,R,540.0,R,194.0,R,36.0,R,21
203614,2010,A,,A,,A,,R,278.0,R,93.0,R,185.0,R,165.0,R,89.0,R,69.0,R,0.0,R,69.0,R,69.0,R,100.0,R,18
203678,2010,R,684.0,R,1062.0,R,64.0,R,762.0,Z,0.0,R,762.0,R,450.0,R,59.0,R,133.0,Z,0.0,R,133.0,R,50.0,R,38.0,R,21
203720,2010,R,62.0,R,175.0,R,35.0,R,112.0,R,0.0,R,112.0,R,81.0,R,72.0,R,10.0,R,0.0,R,10.0,R,7.0,R,70.0,R,11
203739,2010,R,55.0,R,170.0,R,32.0,R,53.0,R,0.0,R,53.0,R,35.0,R,66.0,R,4.0,R,0.0,R,4.0,R,1.0,R,25.0,R,11
