UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
184481,2020,R,679.0,R,1803.0,R,38.0,R,1248.0,R,0.0,R,0.0,R,1248.0,R,649.0,R,52.0,R,517.0,R,0.0,R,0.0,R,517.0,R,178.0,R,34.0,R,21.0
184506,2020,A,,A,,A,,R,25.0,R,0.0,Z,0.0,R,25.0,R,19.0,R,76.0,R,5.0,R,0.0,Z,0.0,R,5.0,R,4.0,R,80.0,R,19.0
184603,2020,R,512.0,R,3024.0,R,17.0,R,477.0,R,0.0,R,0.0,R,477.0,R,360.0,R,75.0,R,78.0,R,0.0,R,0.0,R,78.0,R,29.0,R,37.0,R,15.0
184612,2020,R,419.0,R,630.0,R,67.0,R,381.0,R,0.0,R,0.0,R,381.0,R,301.0,R,79.0,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,R,14.0
184694,2020,R,551.0,R,779.0,R,71.0,R,577.0,R,0.0,Z,0.0,R,577.0,R,471.0,R,82.0,R,2.0,R,0.0,Z,0.0,R,2.0,R,0.0,R,0.0,R,13.0
184746,2020,A,,A,,A,,R,136.0,R,0.0,R,0.0,R,136.0,R,106.0,R,78.0,R,36.0,R,0.0,R,0.0,R,36.0,R,29.0,R,81.0,R,12.0
184773,2020,R,194.0,R,567.0,R,34.0,R,187.0,R,0.0,Z,0.0,R,187.0,R,151.0,R,81.0,R,10.0,R,0.0,Z,0.0,R,10.0,R,10.0,R,100.0,R,11.0
184782,2020,R,2198.0,R,4130.0,R,53.0,R,2689.0,R,2.0,R,0.0,R,2687.0,R,2259.0,R,84.0,R,6.0,R,0.0,R,0.0,R,6.0,R,4.0,R,67.0,R,17.0
184791,2020,R,1284.0,R,2476.0,R,52.0,R,1598.0,R,0.0,R,0.0,R,1598.0,R,996.0,R,62.0,R,268.0,R,0.0,R,0.0,R,268.0,R,115.0,R,43.0,R,27.0
184816,2020,A,,A,,A,,R,38.0,R,0.0,Z,0.0,R,38.0,R,21.0,R,55.0,R,10.0,R,0.0,Z,0.0,R,10.0,R,3.0,R,30.0,R,15.0
184959,2020,R,71.0,R,252.0,R,28.0,R,70.0,R,0.0,R,0.0,R,70.0,R,48.0,R,69.0,R,25.0,R,0.0,Z,0.0,R,25.0,R,20.0,R,80.0,R,16.0
